          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
POSSESSION (Aoi Q.E.D. RMX),MAXIMUM,18,EXCESSIVE COMPLETE,S,9941921,6562,5,5,0,0
WARNING×WARNING×WARNING,MAXIMUM,18,COMPLETE,AAA,9793265,6102,1,1,0,0
世界の果てに約束の凱歌を -VOLTEX Mix-,MAXIMUM,18,PLAYED,B,8312324,0,1,0,0,0
Non RolicK!!大冒険,MAXIMUM,17,PLAYED,AAA+,9884894,0,1,0,0,0
who I am,MAXIMUM,17,EXCESSIVE COMPLETE,S,9920749,4665,1,1,0,0
apo:llioth,MAXIMUM,18,PERFECT,S,10000000,6873,9,7,1,1
With It This Heaven?,MAXIMUM,18,PLAYED,AAA+,9872778,6895,1,0,0,0
Calamity Tempest,MAXIMUM,19,PLAYED,AAA+,9824886,8143,2,0,0,0
Daisycutter,EXHAUST,17,PLAYED,S,9929018,5172,1,0,0,0
Daisycutter,MAXIMUM,19,COMPLETE,AAA,9721810,5913,3,1,0,0
飄える翼追い掛けて,MAXIMUM,19,PLAYED,AAA,9794488,6660,3,0,0,0
MAYHEM,EXHAUST,18,EXCESSIVE COMPLETE,S,9908806,10125,2,1,0,0
MAYHEM,MAXIMUM,20,EXCESSIVE COMPLETE,S,9956568,13748,6,3,0,0
ΛΛemoria,MAXIMUM,19,PLAYED,AAA+,9859983,7327,2,0,0,0
SLEEPWALKER,VIVID,18,EXCESSIVE COMPLETE,S,9967027,5997,1,1,0,0
おどりましょうよ！ドラゴンさん ～転生したらゲーム曲でした～,MAXIMUM,17,PLAYED,S,9972260,0,2,0,0,0
Blue Forest (Prog Keys Remix),MAXIMUM,17,COMPLETE,S,9915314,0,1,1,0,0
星の詩,MAXIMUM,17,PERFECT,S,10000000,0,6,6,0,1
狂水一華,MAXIMUM,18,PLAYED,D,3010176,1701,1,0,0,0
m1dy Deluxe,MAXIMUM,18,EXCESSIVE COMPLETE,S,9914192,0,2,2,0,0
Electric Injury,VIVID,18,COMPLETE,S,9924582,6770,1,1,0,0
